Date,Centre_Name,Commodity_Name,Price
25-11-1997,DELHI,Onion,8
25-11-1997,SHIMLA,Onion,7
25-11-1997,LUCKNOW,Onion,5
25-11-1997,AHMEDABAD,Onion,6
25-11-1997,BHOPAL,Onion,8
25-11-1997,MUMBAI,Onion,7
25-11-1997,JAIPUR,Onion,6
25-11-1997,PATNA,Onion,NA
25-11-1997,BHUBANESHWAR,Onion,9
25-11-1997,KOLKATA,Onion,11
25-11-1997,GUWAHATI,Onion,8
25-11-1997,SHILLONG,Onion,9
25-11-1997,AIZWAL,Onion,9
25-11-1997,AGARTALA,Onion,9
25-11-1997,BENGALURU,Onion,6
25-11-1997,T.PURAM,Onion,6.5
25-11-1997,CHENNAI,Onion,5
25-11-1997,HYDERABAD,Onion,6
26-11-1997,DELHI,Onion,8
26-11-1997,SHIMLA,Onion,7
26-11-1997,LUCKNOW,Onion,5
26-11-1997,AHMEDABAD,Onion,6
26-11-1997,BHOPAL,Onion,5
26-11-1997,MUMBAI,Onion,8
26-11-1997,JAIPUR,Onion,6
26-11-1997,PATNA,Onion,NA
26-11-1997,BHUBANESHWAR,Onion,9
26-11-1997,KOLKATA,Onion,11
26-11-1997,GUWAHATI,Onion,8
26-11-1997,SHILLONG,Onion,9
26-11-1997,AIZWAL,Onion,9
26-11-1997,AGARTALA,Onion,9
26-11-1997,BENGALURU,Onion,6
26-11-1997,T.PURAM,Onion,NA
26-11-1997,CHENNAI,Onion,NA
26-11-1997,HYDERABAD,Onion,7
27-11-1997,DELHI,Onion,8
27-11-1997,SHIMLA,Onion,7
27-11-1997,LUCKNOW,Onion,5
27-11-1997,AHMEDABAD,Onion,6
27-11-1997,BHOPAL,Onion,5
27-11-1997,MUMBAI,Onion,9
27-11-1997,JAIPUR,Onion,6
27-11-1997,PATNA,Onion,NA
27-11-1997,BHUBANESHWAR,Onion,9
27-11-1997,KOLKATA,Onion,11
27-11-1997,GUWAHATI,Onion,NA
27-11-1997,SHILLONG,Onion,9
27-11-1997,AIZWAL,Onion,9
27-11-1997,AGARTALA,Onion,9
27-11-1997,BENGALURU,Onion,6
27-11-1997,T.PURAM,Onion,8.5
27-11-1997,CHENNAI,Onion,7
27-11-1997,HYDERABAD,Onion,7
28-11-1997,DELHI,Onion,9
28-11-1997,SHIMLA,Onion,7
28-11-1997,LUCKNOW,Onion,6
28-11-1997,AHMEDABAD,Onion,6
28-11-1997,BHOPAL,Onion,5
28-11-1997,MUMBAI,Onion,9
28-11-1997,JAIPUR,Onion,6
28-11-1997,PATNA,Onion,NA
28-11-1997,BHUBANESHWAR,Onion,9
28-11-1997,KOLKATA,Onion,11
28-11-1997,GUWAHATI,Onion,NA
28-11-1997,SHILLONG,Onion,9
28-11-1997,AIZWAL,Onion,9
28-11-1997,AGARTALA,Onion,13
28-11-1997,BENGALURU,Onion,6
28-11-1997,T.PURAM,Onion,8.5
28-11-1997,CHENNAI,Onion,7
28-11-1997,HYDERABAD,Onion,7
01-12-1997,DELHI,Onion,10
01-12-1997,SHIMLA,Onion,7
01-12-1997,LUCKNOW,Onion,6
01-12-1997,AHMEDABAD,Onion,6
01-12-1997,BHOPAL,Onion,5
01-12-1997,MUMBAI,Onion,8
01-12-1997,JAIPUR,Onion,6
01-12-1997,PATNA,Onion,NA
01-12-1997,BHUBANESHWAR,Onion,9
01-12-1997,KOLKATA,Onion,11
01-12-1997,GUWAHATI,Onion,NA
01-12-1997,SHILLONG,Onion,9
01-12-1997,AIZWAL,Onion,9
01-12-1997,AGARTALA,Onion,13
01-12-1997,BENGALURU,Onion,6
01-12-1997,T.PURAM,Onion,8.5
01-12-1997,CHENNAI,Onion,7
01-12-1997,HYDERABAD,Onion,7
02-12-1997,DELHI,Onion,10
02-12-1997,SHIMLA,Onion,7
02-12-1997,LUCKNOW,Onion,6
02-12-1997,AHMEDABAD,Onion,7
